Geneid	VM-1	VM-2	VM-3	VM-4
YLR062C	5	4	3	2.5
YLR334C	5	5	118.02	89.2
YLL002W	176	239.83	250.17	400.75
YLR070C	168	106.11	158.41	137.36
YLR157C	2559.52	2025.27	1792.74	1716.42
YLR226W	589.46	412.69	609.15	607.51
YLL048C	16355.67	7834.88	16984.79	10726.96
YLL024C	25175.02	14507.98	23106.62	18795.15
YLR009W	1945.83	942.33	2500.17	1468.61
YLR057W	2407.3	1196.92	2782.83	1696.67
YLR348C	166.75	65.25	161.25	82.36
YLR439W	1883.5	1054.55	1844	1386.87
YLR236C	20	23	16	29.5
YLR345W	581.31	727.75	713.87	1068.75
YLR050C	611	410	656	584
YLR332W	6526.25	11932.5	7188.09	15549.89
YLR369W	1177.84	807.44	1391	1204.75
YLL065W	0.71	0.2	2.5	0.72
tX(XXX)L	5	3.75	3.75	2.5
RDN5-1	122	71.33	150.08	101.17
YLR417W	623	713	729.06	991.25
YLR179C	2228	1200.83	1956.72	1568
YLR013W	2	0	2	0
YLR116W	2615.49	1997.62	2869.88	2577.97
YLR371W	3213.88	2776.07	3442.21	3782.59
YLR222C	2550.18	1023.32	2810.5	1615.18
YLR365W	10	5.5	11.67	11.5
YLR440C	758.45	497.35	825.95	721.91
YLR059C	1122.88	724	1184.72	1043
YLR165C	282.35	204	351.1	350.6
YLR421C	221	157	235	219
YLL027W	1451.5	1325	1649.3	1873.83
YLR292C	1601	1484.25	2176	2033.5
YLR034C	2212.87	1406.55	2238.57	2060.07
YLR016C	249	136.44	247	186
YLR255C	13	8	11.12	11
YLR297W	915	399	1011	602
YLR225C	561.29	756.5	643.5	1027.25
YLR047C	1146.79	1035	1095.75	1444.55
YLL022C	249	140	290	214.5
tI(AAU)L1	0	0	0	0
YLR395C	1816	1478.25	2075.5	2013
YLL067C	677.88	544.66	711.34	782.71
YLR359W	3543.98	2157.13	3696.33	2920.94
YLR456W	149.07	142	170	158.54
YLR067C	1411.49	779.58	1709.95	1168.95
RDN58-2	43.09	34.87	1301.28	6.77
YLR040C	1982.5	1253.6	2294.33	1701.18
YLL013C	10829.85	4786.43	11002.08	6054.4
YLR320W	1186	630.75	1232.5	920.08
YLL045C	14486.25	7244.5	15220.62	9206.17
YLR352W	1078.5	1025.22	1229.25	1483.62
YLR160C	1500.09	1193.46	1074.38	1017.94
YLR071C	3719.95	2353.31	4208.13	3438.03
YLR286C	2565.75	6846.86	2549.07	9216.25
YLR037C	68.06	46.25	56.22	69.67
YLL004W	558.5	418	734	592
YLR100W	1507	1025.61	1679.83	1459.33
YLR088W	1738	993	1996.25	1473.83
YLR216C	4459.72	4786.6	5020.42	6500.17
YLL040C	14365.16	12387	15763.41	17148.83
YLR154C-G	176.2	138.2	5523.46	73.96
